input_file_name,width,height,bitrate [kb/s],duration [s],average_cpu_utilization [%],cost [$],model_cpu_energy [kWh],code_carbon_ram_energy [kWh],model_cpu_co2 [g],cpu_co2_germany [g],cpu_co2_austria [g],cpu_co2_sweden [g],cpu_co2_poland [g],cpu_co2_south_africa [g],cpu_co2_taiwan [g],cpu_co2_great_britain [g]
AncientThought_s000.265,640,360,145,17.335424661636353,96.6,0.0008147649590969085,0.0002480891884909,1.339672810892978e-05,0.0001613368105421,0.09669276121432827,0.01568130412252897,0.0040934716100998495,0.18172533056958423,0.1786655639115298,0.1375964661667654,0.052336481722059444
AncientThought_s000.265,960,540,1600,21.29546904563904,97.3,0.0010008870451450348,0.0003069702426875,1.6457193525046992e-05,0.0001995547281431,0.11964165208745312,0.01940307742320573,0.00506500900434375,0.22485570276859373,0.22106973644211456,0.17025337085055467,0.06475793078028386
AncientThought_s000.265,1280,720,3400,27.41531777381897,98.3,0.0012885199353694914,0.0003992482573579,2.1187076899641117e-05,0.0002594086012369,0.15560700830524152,0.025235816933830597,0.00658759624640535,0.29244934851466176,0.2875252866739143,0.2214330647371253,0.08422474695846033
AncientThought_s000.265,1920,1080,5800,41.08271050453186,98.3,0.0019308873937129974,0.0005982859914956,3.174961073881747e-05,0.0003887319665786,0.2331819651854101,0.03781666037911772,0.0098717188596774,0.43824448877052696,0.4308656282087479,0.3318243680332471,0.1262134156225926
AncientThought_s000.265,2560,1440,8100,60.19025015830994,98.6,0.002828941757440567,0.0008792235060162,4.651546744376019e-05,0.0005711809466247,0.342677361469814,0.05557425244277398,0.0145071878492673,0.6440312181568665,0.6331874615826667,0.48763933702423495,0.18547952545666754
AncientThought_s000.265,3840,2160,16800,123.21588039398192,99.1,0.0057911463785171495,0.0018089916662286,9.52225955119235e-05,0.0011749001994939,0.7050545019125969,0.11434334823619943,0.029848362492771903,1.3250863955124497,1.30277549829563,1.0033120028820373,0.3816218669214751
AncientThought_s001.265,640,360,145,15.552269220352173,95.6,0.0007309566533565521,0.0002202662129578,1.2018597880115747e-05,0.000143319728287,0.08584875650030255,0.013922660210707608,0.0036343925138037,0.1613450009915885,0.15862838436510895,0.12216514836171982,0.04646699317522256
AncientThought_s001.265,960,540,1600,19.50676369667053,96.9,0.0009168178937435147,0.0002800304299566,1.507484145453276e-05,0.0001820799524606,0.10914186007558485,0.017700256760173425,0.0046205020942839,0.20512228994320952,0.2016685813070781,0.1553118772146793,0.05907475278626108
AncientThought_s001.265,1280,720,3400,25.160273790359497,97.9,0.0011825328681468962,0.0003649171561594,1.944440928746502e-05,0.0002371510858807,0.14222646161312616,0.02306580524557541,0.0060211330766301,0.2673018168867605,0.26280117196079456,0.20239217773490722,0.07698231506812676
AncientThought_s001.265,1920,1080,5800,37.91057467460632,98.1,0.001781797009706497,0.0005509670186042,2.929793740185062e-05,0.0003580234778557,0.21473939550098695,0.03482570696760714,0.0090909558069693,0.4035833411275765,0.396788081231458,0.3055800826933544,0.11623108396637769
AncientThought_s001.265,2560,1440,8100,55.46420764923096,98.3,0.002606817759513855,0.0008077232017658,4.286346879019164e-05,0.000524811975733,0.31481011788822055,0.05105483737827995,0.013327432829135701,0.5916572452934485,0.5816953258050036,0.44798348077935685,0.1703959404391769
AncientThought_s001.265,3840,2160,16800,112.77687096595764,98.9,0.005300512935400009,0.0016523900057086,8.715577394853852e-05,0.0010732997460484,0.6440190047249268,0.10444481827749776,0.027264435094191897,1.2103756791815494,1.1899962024444766,0.9164568069161323,0.3485854416209434
AncientThought_s002.265,640,360,145,14.819302082061768,96.4,0.000696507197856903,0.0002116415882534,1.1452776565194256e-05,0.0001376492230931,0.08248730902176266,0.013377512057516992,0.0034920862061811,0.1550274633956155,0.15241721714049022,0.11738171588504198,0.044647556721956846
AncientThought_s002.265,960,540,1600,18.012760639190674,97.2,0.0008465997500419617,0.0002593837532043,1.392039273506896e-05,0.0001686286580446,0.10109481781137593,0.016395214733788462,0.00427983192787095,0.18999859922214976,0.18679953293263005,0.1438607141209349,0.05471916426972379
AncientThought_s002.265,1280,720,3400,23.07181024551392,97.9,0.0010843750815391542,0.000334626699709,1.783021265727058e-05,0.0002174659149299,0.13042075621158275,0.021151195977439707,0.0055213405451985,0.24511405753684248,0.24098699490709813,0.18559233332610411,0.07059229085944446
AncientThought_s002.265,1920,1080,5800,34.231598138809204,98.2,0.0016088851125240324,0.0004980063610712,2.6454462893122468e-05,0.000323592328386,0.19409797922750022,0.03147815207270877,0.0082171049576748,0.364789659484654,0.3586475810314425,0.2762067780091143,0.10505859192097858
AncientThought_s002.265,2560,1440,8100,49.57227921485901,98.4,0.002329897123098373,0.0007226536703321,3.831012978228472e-05,0.0004695146646706,0.281654268011936,0.045677734078908155,0.01192378556047965,0.5293438135182633,0.5204310849175007,0.40080179190794096,0.15244981387047593
AncientThought_s002.265,3840,2160,16800,101.49361491203308,98.6,0.004770199900865554,0.0014825585822705,7.843575247196724e-05,0.0009631335045361,0.5778272074399273,0.09371005705434786,0.02446221660746325,1.0859741615131413,1.067689272331805,0.822264053691776,0.3127580875848142
AncientThought_s003.265,640,360,145,15.224956750869753,96.1,0.0007155729672908783,0.0002167582731494,1.1765748404986313e-05,0.000140999321299,0.08448153695997865,0.013700929181984992,0.0035765115069650998,0.1587754350819355,0.15610208304642623,0.12021955724548597,0.04572696403980884
AncientThought_s003.265,960,540,1600,17.888281106948853,97.0,0.000840749212026596,0.0002570612247961,1.382396606964079e-05,0.0001671361627641,0.10018961236427998,0.01624841158398682,0.00424151020913565,0.18829734716314328,0.18512692539065803,0.14257258180253699,0.054229207547610604
AncientThought_s003.265,1280,720,3400,22.31951785087585,97.7,0.001049017338991165,0.0003230543546711,1.724880266358525e-05,0.0002099670480755,0.12591043473306124,0.020419727334835783,0.00533039685207315,0.23663731479658076,0.2326529777556372,0.17917402145945885,0.06815100823749082
AncientThought_s003.265,1920,1080,5800,32.08067536354065,98.1,0.0015077917420864104,0.0004662391486167,2.4792250736911965e-05,0.0003029663734012,0.18171670817335883,0.029470199518813914,0.007692945952175551,0.34152017636173276,0.33576989352879344,0.25858788780153724,0.09835703372693134
AncientThought_s003.265,2560,1440,8100,44.92615723609924,98.0,0.002111529390096664,0.0006522612457981,3.4719828760692625e-05,0.0004238673230028,0.2542188205498095,0.04122834624482157,0.010762310555668649,0.47778136254710823,0.46973680718226496,0.3617603934507712,0.13759994531149083
AncientThought_s003.265,3840,2160,16800,87.78512859344482,98.5,0.004125901043891906,0.0012810126172524,6.784170499466341e-05,0.0008322431168264,0.4992746675741229,0.08097067251549546,0.0211367081846646,0.938341742137383,0.9225425865246034,0.7104816228436124,0.27024028671453754
AncientThought_s004.265,640,360,145,12.93228554725647,95.0,0.000607817420721054,0.0001820099447391,9.99439099040444e-06,0.0001184666751451,0.07093837596206423,0.011504545257050613,0.00300316408819515,0.13332228452139075,0.13107749520294185,0.10094726560092335,0.03839651459225264
AncientThought_s004.265,960,540,1600,15.826234102249146,96.6,0.0007438330028057098,0.0002264909947077,1.223049169492839e-05,0.0001472911571104,0.08827486518732608,0.014316118290482538,0.00373710141267705,0.16590465362339024,0.16311126468866194,0.12561756793975812,0.047780162758545214
AncientThought_s004.265,1280,720,3400,19.2053747177124,97.6,0.0009026526117324827,0.0002776954922146,1.484191674313962e-05,0.0001804955813269,0.10823181809064034,0.017552669237064507,0.0045819756215409,0.20341194804719448,0.19998703697654774,0.1540168623695225,0.058582178211771654
AncientThought_s004.265,1920,1080,5800,28.407049417495728,97.7,0.0013351313226222991,0.0004111657374947,2.195357462988227e-05,0.0002672346155808,0.1602518461885593,0.02598910099081083,0.00678423466866255,0.30117890271486775,0.2961078586190998,0.22804279715799797,0.08673883870565276
AncientThought_s004.265,2560,1440,8100,39.198184967041016,98.3,0.0018423146934509276,0.0005708417158903,3.029292923141782e-05,0.0003709000760401,0.22248555876824444,0.03608195345856605,0.009418888312189951,0.41814155688964477,0.4111011757269977,0.3166030866756577,0.12042381698135789
AncientThought_s004.265,3840,2160,16800,74.5488817691803,98.5,0.0035037974431514738,0.001087861459891,5.761248327285245e-05,0.000706757422932,0.42399400399251724,0.06876190977727696,0.0179497140882015,0.7968585193701574,0.7834415613648351,0.6033551621920459,0.2294934404761722
AncientThought_s005.265,640,360,145,13.920081853866575,95.8,0.000654243847131729,0.0001975620506074,1.075781852483516e-05,0.0001285333592546,0.07699980922423415,0.01248756794880941,0.0032597738350221,0.1447142020699205,0.14227760344576257,0.10957285231812923,0.04167736092605276
AncientThought_s005.265,960,540,1600,16.507127285003662,97.3,0.000775834982395172,0.0002379471829379,1.2756701366352275e-05,0.0001546842966157,0.09273991455004653,0.01504024485486643,0.00392612851847535,0.17429631150201175,0.17136162957911097,0.1319714563369328,0.05019694113394116
AncientThought_s005.265,1280,720,3400,20.35901403427124,98.3,0.0009568736596107482,0.0002964875673435,1.5733469397258374e-05,0.000192640379669,0.11555602937212912,0.018740484985837063,0.00489204486116775,0.21717714307911373,0.21352046308187722,0.16443941703788867,0.06254652306083919
AncientThought_s005.265,1920,1080,5800,30.159085035324097,98.0,0.0014174769966602324,0.0004378652345869,2.330704563264135e-05,0.0002845432968954,0.17065797518024428,0.02767673170284697,0.0072247763706838495,0.32073628433490425,0.3153359464416658,0.24285100573275942,0.09237132011306144
AncientThought_s005.265,2560,1440,8100,42.06963133811951,98.5,0.0019772726728916165,0.0006139049906377,3.251234009944398e-05,0.0003988394930648,0.23926947010104357,0.03880391128322462,0.01012943234552205,0.44968540564211523,0.4421139107575836,0.34048705543243435,0.1295083736499448
AncientThought_s005.265,3840,2160,16800,80.34932518005371,99.0,0.003776418283462524,0.0011784567693074,6.209489710912408e-05,0.000765420378179,0.4593035258375591,0.07448828829330524,0.019444536693572097,0.8632195835176705,0.8486852833628792,0.6536015856771167,0.2486052759584736
AncientThought_s006.265,640,360,145,14.492432117462158,96.4,0.0006811443095207214,0.0002069734009071,1.120017050194008e-05,0.0001346130935594,0.08066788300354222,0.013082443715669613,0.00341506111496715,0.15160801616445074,0.14905534421992983,0.11479262247810033,0.04366276369969364
AncientThought_s006.265,960,540,1600,16.879385232925415,96.8,0.0007933311059474945,0.0002420628874884,1.3044289456627211e-05,0.0001574011281751,0.09434401039860389,0.01530039167999595,0.0039940376435586,0.177311065085253,0.17432562280622937,0.13425412897325384,0.05106518330640705
AncientThought_s006.265,1280,720,3400,20.2315616607666,97.8,0.0009508833980560302,0.0002931328489515,1.5635178355332187e-05,0.0001905098728483,0.11424852787884714,0.018528438827476065,0.004836692007699751,0.21471981185697375,0.21110450671990524,0.16257880634972569,0.06183881726006019
