input_file_name,width,height,bitrate [kb/s],duration [s],average_cpu_utilization [%],cost [$],model_cpu_energy [kWh],code_carbon_ram_energy [kWh],model_cpu_co2 [g],cpu_co2_germany [g],cpu_co2_austria [g],cpu_co2_sweden [g],cpu_co2_poland [g],cpu_co2_south_africa [g],cpu_co2_taiwan [g],cpu_co2_great_britain [g]
AncientThought_s000.265,640,360,145,30.415414810180664,99.0,0.0006995545406341553,0.0001672847814559,1.1483699532137357e-05,0.0001103001527696,0.06519924357243703,0.010573792227858347,0.0027601988940223502,0.12253610241644676,0.12047292344515732,0.09278032191497854,0.035290118687967574
AncientThought_s000.265,960,540,1600,33.347368001937866,99.3,0.0007669894640445709,0.0001839663134773,1.2591083186221871e-05,0.0001212759137414,0.07170087067777768,0.011628204064377671,0.0030354441723754503,0.13475532462212225,0.1324864067559022,0.10203231661234752,0.03880922688064875
AncientThought_s000.265,1280,720,3400,38.15114617347717,99.4,0.000877476361989975,0.0002106791072024,1.4404906269404212e-05,0.0001388768363121,0.0821121820321354,0.013316675234418367,0.0034762052688396,0.154322446025758,0.15172407037026173,0.1168478998321311,0.04444451332357297
AncientThought_s000.265,1920,1080,5800,49.66313362121582,99.5,0.0011422520732879639,0.0002745267664061,1.87515357367848e-05,0.0001809527124222,0.10699680720677748,0.017352379359918905,0.004529691645700651,0.20109085639246826,0.19770502627345968,0.15225940781798322,0.057913709096420185
AncientThought_s000.265,2560,1440,8100,62.34526371955872,99.2,0.0014339410655498507,0.00034359167561,2.3539982546698943e-05,0.0002265202330826,0.1339148555689975,0.021717857162515418,0.0056692626475649995,0.251680902384325,0.2474432717184683,0.19056453308519625,0.07248352723389291
AncientThought_s000.265,3840,2160,16800,102.74630856513976,98.7,0.0023631650969982146,0.0005633922586321,3.879223094273054e-05,0.0003715478300677,0.21958213280186098,0.035611085681037324,0.009295972267429651,0.41268482944801327,0.405736324924884,0.3124714314438285,0.11885229189393011
AncientThought_s001.265,640,360,145,28.158184051513672,98.9,0.0006476382331848144,0.0001547135779274,1.0631973104635032e-05,0.0001020182049868,0.06029961699720415,0.009779187404827742,0.0025527740358021003,0.11332769583182051,0.11141956170404924,0.08580801815798424,0.032638118543601095
AncientThought_s001.265,960,540,1600,31.98009347915649,99.2,0.0007355421500205993,0.0001762458485073,1.2074812492481138e-05,0.0001161938478368,0.06869181945572017,0.011140206341065587,0.00290805650037045,0.12910008403159723,0.12692638523334054,0.09775035372836126,0.03718053045801916
AncientThought_s001.265,1280,720,3400,35.69432806968689,99.2,0.0008209695456027985,0.0001967154080284,1.347733260711266e-05,0.0001296889209721,0.0766698302790689,0.012434053082461784,0.0032458042324686,0.144094036380803,0.14166787968178607,0.10910328317775135,0.04149875461865789
AncientThought_s001.265,1920,1080,5800,46.56983160972595,99.5,0.001071106127023697,0.000257427680287,1.7583648550572663e-05,0.0001696819898928,0.10033243839185824,0.016271574624807456,0.0042475567247354995,0.1885657758102275,0.18539083442002113,0.14277582717917736,0.05430651438721171
AncientThought_s001.265,2560,1440,8100,58.48906946182251,99.3,0.0013452485976219177,0.0003226646998643,2.2084388984535507e-05,0.0002127101878197,0.12575856677211092,0.02039509790392263,0.00532396754776095,0.23635189265059975,0.23237236135227338,0.1789579091622374,0.06806880730887295
AncientThought_s001.265,3840,2160,16800,95.88440203666688,98.8,0.0022053412468433383,0.0005262988289568,3.620263606870253e-05,0.0003470634039207,0.2051249685859128,0.0332664718136444,0.0086839306777872,0.385513892210856,0.3790228733203888,0.2918984880101652,0.11102712379201161
AncientThought_s002.265,640,360,145,27.055366039276123,98.5,0.0006222734189033508,0.0001480529752704,1.0215596860782249e-05,9.76517090049908e-05,0.0577036471116384,0.0093581818118832,0.0024428740919616,0.108448804385568,0.10662281769056639,0.0821138814093456,0.0312330089080848
AncientThought_s002.265,960,540,1600,30.603771448135376,99.2,0.0007038867433071137,0.0001686607848697,1.1555075230167707e-05,0.0001111931856816,0.06573554090296557,0.01066076711030562,0.00278290295035005,0.12354402491705525,0.1214638752369956,0.09354348780835736,0.035580398074803794
AncientThought_s002.265,1280,720,3400,34.514567852020264,99.3,0.0007938350605964661,0.0001904053659836,1.3031911585323997e-05,0.00012552080026,0.0742104913921081,0.012035205841546716,0.0031416885387293998,0.13947193058298699,0.13712359773585592,0.10560357610865415,0.04016759866562362
AncientThought_s002.265,1920,1080,5800,42.65661573410034,99.5,0.0009811021618843078,0.0002357962925301,1.610637862677133e-05,0.0001554239481038,0.09190160501360647,0.014904290657006738,0.00389063882674665,0.17272078427829826,0.16981263000376035,0.13077851874450672,0.04974319287832901
AncientThought_s002.265,2560,1440,8100,54.07671642303467,99.2,0.0012437644777297974,0.0002980227927313,2.041824977093825e-05,0.0001964781232239,0.11615438346702417,0.018837524023890922,0.004917376080066449,0.21830169567567723,0.2146260812319912,0.16529089141859726,0.0628703916499405
AncientThought_s002.265,3840,2160,16800,89.45690679550171,98.7,0.0020575088562965393,0.0004905220389286,3.377688422887862e-05,0.0003234924355882,0.19118096467242185,0.031005080543945258,0.0080936136423219,0.3593073935151995,0.35325762170174674,0.2720557858407748,0.10347971179564591
AncientThought_s003.265,640,360,145,27.725115537643436,98.9,0.0006376776573657991,0.0001523341070373,1.046848495572969e-05,0.0001004491992597,0.05937221821778768,0.009628785015649339,0.00251351276611545,0.11158473340482226,0.10970594608469555,0.08448830411556252,0.03213614933041042
